World War I African American Soldiers: North Carolina: 317 Units						#5	#6																																																																															
FILE	#1	#1	#2	#3	#4	OVERSEAS SERVICE DATES		#7																																																																														
Number	Last	First	City	Date	LAST UNIT	From 	To	Discharge Date																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07619.tif	Gardner	James	Baden	6/18/1918	Co B 369 Inf	6/20/1918	1/21/1919	5/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-j_12772.txt	Plamer	Ezra	Baden	3/30/1918	Co L 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-p_21917.txt	Smith	John	Baden	4/21/1918	845 Co TC	6/6/1918	7/5/1919	7/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_05144.txt	Bell	Edd	Badin	10/15/1918	Students Army Tng C Negro Agricultural & Technical College Greensboro			12/11/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_05537.txt	Johnson	Jessie	Badin	4/18/1918	Co C 310 Labor Bn	5/8/1918	5/30/1919	6/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08307.txt	Nelson	Tom	Badin	4/30/1918	Provost Guard Co Camp Jackson			10/30/1918 GCMO 281																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_05321.txt	Johnson	Elwood	Bahama	7/15/1918	Co K 370 Inf	8/26/1918	2/9/1919	3/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-f_07136.txt	Walker	Ellis	Bailey	2/19/1918	Co D 328 Labor Bn QMC			12/30/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-e_06756.txt	Morgan	Aaron	Baileys	6/12/1918	9 Co 3 Dev Bn 156 DB to : 1 Add Btry 3 Bn 1 Prov Dev Brig			11/26/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_09868.txt	Leazer	John	Barber	7/18/1918	Co B 808 Pion Inf	8/31/1918	6/22/1919	7/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_00623.txt	McClease	Andrew	Barco	7/18/1918	Co A 811 Pion Inf			12/23/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-o_20755.txt	Simons	Vancolon	Barco	7/30/1918	Co D 545 Engrs	9/23/1918	6/27/1919	8/8/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00651.txt	Davis	Lee	Barnes	4/27/1918	Co M 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_13066.txt	Wollard	Walter	Bath	8/15/1918	Btry C 19 Regt FA Repl Draft			12/27/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-a_00925.txt	Hines	Joe	Battleboro	4/2/1918	Sup Co 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_05570.txt	Johnson	John Henry	Battleboro	6/20/1918	Co A 812 Pion Inf			1/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_06865.txt	Jones	Wesley	Battleboro	4/27/1918	Co H 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_03866.txt	Massenburg	Moses	Battleboro	4/26/1918	Co M 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_07351.txt	Mosenburg	Sam	Battleboro	7/19/1918	Co F 808 Pion Inf	9/26/1918	12/24/1918	2/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-k_14432.txt	Rackley	George	Battleboro	7/19/1918	4 Co 808 Pion Inf	8/31/1918	6/22/1919	7/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-g_09418.txt	Whitaker	James	Battleboro	8/1/1918	School for Bakers and Cooks Camp Greene NC			3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10282.txt	Wiggins	James	Battlesboro	11/30/1917	Co D 371 Inf	4/6/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_00844.txt	Allen	Preston	Beard	3/30/1918	Co E 365 Inf			5/28/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00876.txt	Davis	William	Beaufort	3/31/1918	Co A 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-i_12084.txt	Lucas	Fred Douglas	Behaven	4/2/1918	Co D 365 Inf	5/10/1918	4/5/1919	6/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-g_08899.txt	Norman	William	Belcross	7/30/1918	Co C 545 Engrs	9/22/1918	6/27/1919	7/5/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-i_11006.txt	Hairston	Frank	Belews Creek	8/5/1918	Co H 813 Pion Inf	9/15/1918	7/15/1919	7/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-c_03277.txt	Barber	William Peal	Belhaven	6/21/1918	Co A 801 Pion Inf	9/7/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-k_14575.txt	Collins	Otis	Belhaven	4/30/1918	Co D 534 Engrs Serv Bn	8/29/1918	7/4/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-l_15597.txt	Covel	Ormand	Belhaven	7/16/1918	Co L 370 Inf	8/18/1918	3/11/1919	3/29/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-g_08136.txt	Gayner	Benjamin	Belhaven	4/27/1918	MG Co 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-c_03378.txt	Tankard	Phillio	Belhaven	4/2/1918	Co D 365 Inf																																																																																	
WW-I-Card_World-War-I-Service-Card-4-k_13996.txt	Pritchard	John	Belcross	7/16/1918	Co K 370 Inf	8/22/1918	2/9/1919	3/6/1919																																																																														
